Date,Category,Portfolio(if applicable),Security,Fund Name,Action,Transaction Type,Quantity,Price,Amount
12/24/2018,Employer matching 401k contributions (fully vested),Aggressive Portfolio,VTSAX,Vanguard Total Stock Market Index Admira,REINVDIV,Dividend of $1.61 to Aggressive Portfolio - VTSAX Vanguard Total Stock Market Index Admira.,0.027,$59.77 ,$1.61 
12/24/2018,Employee pre-tax contributions,Aggressive Portfolio,VTSAX,Vanguard Total Stock Market Index Admira,REINVDIV,Dividend of $2.02 to Aggressive Portfolio - VTSAX Vanguard Total Stock Market Index Admira.,0.034,$59.77 ,$2.02 
12/21/2018,Employer matching 401k contributions (fully vested),Aggressive Portfolio,RERGX,American Funds EuroPacifc Gr R6,REINVDIV,Dividend of $0.51 to Aggressive Portfolio - RERGX American Funds EuroPacifc Gr R6.,0.012,$44.51 ,$0.51 
12/21/2018,Employee pre-tax contributions,Aggressive Portfolio,RERGX,American Funds EuroPacifc Gr R6,REINVDIV,Dividend of $0.64 to Aggressive Portfolio - RERGX American Funds EuroPacifc Gr R6.,0.014,$44.51 ,$0.64 
12/21/2018,Employer matching 401k contributions (fully vested),Aggressive Portfolio,RERGX,American Funds EuroPacifc Gr R6,REINVDIV,Dividend of $0.61 to Aggressive Portfolio - RERGX American Funds EuroPacifc Gr R6.,0.014,$44.51 ,$0.61 
12/21/2018,Employee pre-tax contributions,Aggressive Portfolio,RERGX,American Funds EuroPacifc Gr R6,REINVDIV,Dividend of $0.77 to Aggressive Portfolio - RERGX American Funds EuroPacifc Gr R6.,0.017,$44.51 ,$0.77 
12/18/2018,Employer matching 401k contributions (fully vested),Aggressive Portfolio,DFCEX,DFA Emerging Markets Core Equity,REINVDIV,Dividend of $0.08 to Aggressive Portfolio - DFCEX DFA Emerging Markets Core Equity.,0.004,$19.01 ,$0.08 
12/18/2018,Employee pre-tax contributions,Aggressive Portfolio,DFCEX,DFA Emerging Markets Core Equity,REINVDIV,Dividend of $0.10 to Aggressive Portfolio - DFCEX DFA Emerging Markets Core Equity.,0.006,$19.01 ,$0.10 
12/20/2018,Employer matching 401k contributions (fully vested),Aggressive Portfolio,VITAX,Vanguard Information Technology Index Ad,Buy,Safe Harbor Match  of $14.00 to Aggressive Portfolio - VITAX Vanguard Information Technology Index Ad.,0.167,$83.96 ,$14.00 
12/20/2018,Employer matching 401k contributions (fully vested),Aggressive Portfolio,VTSAX,Vanguard Total Stock Market Index Admira,Buy,Safe Harbor Match  of $77.00 to Aggressive Portfolio - VTSAX Vanguard Total Stock Market Index Admira.,1.254,$61.41 ,$77.00 
12/20/2018,Employer matching 401k contributions (fully vested),Aggressive Portfolio,VINAX,Vanguard Industrial Index Admiral,Buy,Safe Harbor Match  of $7.00 to Aggressive Portfolio - VINAX Vanguard Industrial Index Admiral.,0.115,$60.86 ,$7.00 
12/20/2018,Employer matching 401k contributions (fully vested),Aggressive Portfolio,DFCEX,DFA Emerging Markets Core Equity,Buy,Safe Harbor Match  of $4.20 to Aggressive Portfolio - DFCEX DFA Emerging Markets Core Equity.,0.22,$19.07 ,$4.20 
12/20/2018,Employer matching 401k contributions (fully vested),Aggressive Portfolio,RERGX,American Funds EuroPacifc Gr R6,Buy,Safe Harbor Match  of $9.80 to Aggressive Portfolio - RERGX American Funds EuroPacifc Gr R6.,0.22,$44.51 ,$9.80 
12/20/2018,Employer matching 401k contributions (fully vested),Aggressive Portfolio,VSGDX,Vanguard Short-Term Federal Admiral,Buy,Safe Harbor Match  of $28.00 to Aggressive Portfolio - VSGDX Vanguard Short-Term Federal Admiral.,2.662,$10.52 ,$28.00 
12/20/2018,Employee pre-tax contributions,Aggressive Portfolio,VITAX,Vanguard Information Technology Index Ad,Buy,Pre-tax contribution of $17.50 to Aggressive Portfolio - VITAX Vanguard Information Technology Index Ad.,0.208,$83.96 ,$17.50 
12/20/2018,Employee pre-tax contributions,Aggressive Portfolio,VTSAX,Vanguard Total Stock Market Index Admira,Buy,Pre-tax contribution of $96.25 to Aggressive Portfolio - VTSAX Vanguard Total Stock Market Index Admira.,1.567,$61.41 ,$96.25 
12/20/2018,Employee pre-tax contributions,Aggressive Portfolio,VINAX,Vanguard Industrial Index Admiral,Buy,Pre-tax contribution of $8.75 to Aggressive Portfolio - VINAX Vanguard Industrial Index Admiral.,0.144,$60.86 ,$8.75 
12/20/2018,Employee pre-tax contributions,Aggressive Portfolio,DFCEX,DFA Emerging Markets Core Equity,Buy,Pre-tax contribution of $5.25 to Aggressive Portfolio - DFCEX DFA Emerging Markets Core Equity.,0.275,$19.07 ,$5.25 
12/20/2018,Employee pre-tax contributions,Aggressive Portfolio,RERGX,American Funds EuroPacifc Gr R6,Buy,Pre-tax contribution of $12.25 to Aggressive Portfolio - RERGX American Funds EuroPacifc Gr R6.,0.275,$44.51 ,$12.25 
12/20/2018,Employee pre-tax contributions,Aggressive Portfolio,VSGDX,Vanguard Short-Term Federal Admiral,Buy,Pre-tax contribution of $35.00 to Aggressive Portfolio - VSGDX Vanguard Short-Term Federal Admiral.,3.328,$10.52 ,$35.00 
12/13/2018,Employer matching 401k contributions (fully vested),Aggressive Portfolio,VITAX,Vanguard Information Technology Index Ad,REINVDIV,Dividend of $0.15 to Aggressive Portfolio - VITAX Vanguard Information Technology Index Ad.,0.002,$90.63 ,$0.15 
12/13/2018,Employee pre-tax contributions,Aggressive Portfolio,VITAX,Vanguard Information Technology Index Ad,REINVDIV,Dividend of $0.19 to Aggressive Portfolio - VITAX Vanguard Information Technology Index Ad.,0.002,$90.63 ,$0.19 
12/13/2018,Employer matching 401k contributions (fully vested),Aggressive Portfolio,VINAX,Vanguard Industrial Index Admiral,REINVDIV,Dividend of $0.10 to Aggressive Portfolio - VINAX Vanguard Industrial Index Admiral.,0.002,$65.11 ,$0.10 
